conversation_id,gold_intent,top1_similarity,top3_avg_similarity,top5_avg_similarity,top1_intent_match
conv_128774,refund_return_request,0.7286,0.6927,0.6994,1
conv_205981,other_general,0.7444,0.7347,0.7287,1
conv_205981,other_general,0.7444,0.7347,0.7287,1
conv_205981,other_general,0.7444,0.7347,0.7287,1
conv_179426,other_general,0.791,0.7848,0.7832,1
conv_69631,delivery_issue,0.7829,0.7779,0.7731,1
conv_232401,other_general,0.671,0.6601,0.6565,1
conv_76053,other_general,0.7396,0.7241,0.7126,1
conv_8511,refund_return_request,0.7871,0.751,0.7311,1
conv_77589,other_general,0.6748,0.6692,0.6639,1
conv_191492,other_general,0.9265,0.9173,0.9144,1
conv_234559,refund_return_request,0.8396,0.7915,0.7694,1
conv_169575,other_general,0.5977,0.5884,0.5797,1
conv_182724,other_general,0.736,0.7257,0.7209,1
conv_177362,information_request,0.6094,0.6294,0.6103,1
conv_140953,other_general,0.6411,0.6372,0.6286,1
conv_206956,other_general,0.943,0.943,0.943,1
conv_36567,missing_defective_item,0.672,0.66,0.657,1
conv_235774,other_general,1.0,0.981,0.96,1
conv_21464,other_general,0.8769,0.8738,0.8667,1
conv_21464,other_general,0.8769,0.8738,0.8667,1
conv_18729,other_general,0.0,0.0,0.0,0
conv_206045,refund_return_request,0.6782,0.6679,0.6645,0
conv_206860,other_general,0.8386,0.8307,0.8243,1
conv_230174,other_general,0.7688,0.7688,0.7635,1
conv_65887,delivery_issue,0.7754,0.7515,0.7651,1
conv_64222,other_general,0.6092,0.6024,0.5975,1
conv_77383,other_general,0.7992,0.7868,0.7808,1
conv_182837,other_general,0.6999,0.6944,0.6868,1
conv_222829,other_general,0.7925,0.7807,0.7679,1
conv_142096,other_general,0.7767,0.7729,0.7691,1
conv_98708,other_general,0.5771,0.5692,0.5563,1
conv_76001,delivery_issue,0.8426,0.8188,0.8044,1
conv_181141,other_general,0.7223,0.7147,0.7111,1
conv_16849,other_general,0.8302,0.8176,0.808,1
conv_14012,information_request,0.4838,0.4976,0.5135,1
conv_45539,other_general,0.7076,0.7011,0.6959,1
conv_183313,other_general,0.7351,0.7342,0.7304,1
conv_122054,other_general,0.7061,0.6756,0.6519,1
conv_149077,other_general,0.7433,0.7257,0.715,1
conv_120232,prime_membership_issue,0.633,0.6241,0.6178,1
conv_54367,delivery_issue,0.7516,0.7396,0.729,1
conv_80753,other_general,0.7971,0.7444,0.7252,1
conv_183405,other_general,0.7966,0.7918,0.7887,1
conv_111828,other_general,0.7743,0.7706,0.7584,1
conv_180634,other_general,0.805,0.76,0.7443,1
conv_236669,other_general,0.7665,0.7358,0.7137,1
conv_46564,other_general,0.5343,0.5322,0.5279,1
conv_75830,other_general,0.5115,0.5052,0.4898,1
conv_61023,prime_membership_issue,0.6904,0.6726,0.6954,1
conv_61023,prime_membership_issue,0.6904,0.6726,0.6954,1
conv_109780,delivery_issue,0.7051,0.697,0.6916,1
conv_105090,other_general,0.7076,0.6938,0.6827,1
conv_232205,prime_membership_issue,0.5882,0.5737,0.568,1
conv_37577,delivery_issue,0.7496,0.7264,0.7136,1
conv_39587,delivery_issue,0.8485,0.8481,0.8326,1
conv_75871,delivery_issue,0.8437,0.8213,0.8107,1
conv_234145,delivery_issue,0.7214,0.6967,0.6848,1
conv_183251,refund_return_request,0.8383,0.8346,0.8229,1
conv_64137,other_general,0.7872,0.7742,0.7632,1
conv_35189,other_general,0.8815,0.8118,0.7936,1
conv_78734,refund_return_request,0.7246,0.6973,0.6846,1
conv_133809,other_general,0.7377,0.7301,0.7187,1
conv_41498,other_general,0.8028,0.7966,0.7893,1
conv_132547,prime_membership_issue,0.7211,0.7161,0.7123,1
conv_74826,other_general,0.8324,0.7986,0.7807,1
conv_127456,other_general,0.5601,0.5584,0.5565,1
conv_127456,other_general,0.5601,0.5584,0.5565,1
conv_199637,other_general,0.8099,0.7928,0.7772,1
conv_16834,other_general,0.8553,0.849,0.8407,1
conv_16834,other_general,0.8553,0.849,0.8407,1
conv_152034,prime_membership_issue,0.6859,0.6576,0.6433,1
conv_180797,other_general,0.8449,0.825,0.8173,1
conv_40414,other_general,0.9027,0.8868,0.8734,1
conv_205052,information_request,0.7971,0.7865,0.7817,1
conv_78688,delivery_issue,0.8699,0.8516,0.8406,1
conv_179505,information_request,0.7234,0.7126,0.6976,1
conv_142081,account_login_security,0.8366,0.8325,0.8207,1
conv_232363,other_general,0.7529,0.7371,0.7331,1
conv_232363,other_general,0.7529,0.7371,0.7331,1
conv_199219,other_general,0.7171,0.6751,0.6645,1
conv_181000,other_general,0.7075,0.7042,0.6975,1
conv_136147,other_general,0.8159,0.8015,0.786,1
conv_132356,other_general,0.9115,0.8586,0.8253,1
conv_83413,other_general,0.7191,0.68,0.6656,1
conv_99796,other_general,0.6672,0.6342,0.6255,1
conv_179363,other_general,0.7375,0.7275,0.7125,1
conv_2549,other_general,0.7801,0.7676,0.7633,1
conv_141013,information_request,0.6795,0.6233,0.603,1
conv_89316,delivery_issue,0.7863,0.7469,0.725,1
conv_131787,other_general,0.9192,0.8573,0.8388,1
conv_191702,other_general,0.761,0.758,0.7565,1
conv_179213,account_login_security,0.7769,0.755,0.7436,1
conv_136997,other_general,0.9239,0.9017,0.8949,1
conv_37607,other_general,0.743,0.7207,0.7137,1
conv_166465,other_general,0.7919,0.7806,0.7747,1
conv_77566,other_general,0.6456,0.6419,0.6383,1
conv_36585,other_general,0.9222,0.9222,0.9175,1
conv_140909,other_general,0.8632,0.8498,0.8435,1
conv_105027,other_general,0.7674,0.7513,0.744,1
